imdbId,director_name
32851,King Vidor
32851,Jack Conway
32851,W.S. Van Dyke
32881,Sam Wood
32904,George Cukor
32910,Wilfred Jackson
32910,T. Hee
32910,Ben Sharpsteen
32910,Hamilton Luske
32910,Bill Roberts
32910,Jack Kinney
32910,Norman Ferguson
32943,Robert Z. Leonard
32976,Alfred Hitchcock
33045,Ernst Lubitsch
33149,Raoul Walsh
33152,Zoltan Korda
33152,William Cameron Menzies
33152,Alexander Korda
33152,Tim Whelan
33152,Michael Powell
33152,Ludwig Berger
33467,Orson Welles
33553,Victor Fleming
33563,Wilfred Jackson
33563,Ben Sharpsteen
33563,John Elliotte
33563,Samuel Armstrong
33563,Norman Ferguson
33563,Jack Kinney
33563,Bill Roberts
33712,Alexander Hall
33717,Raoul Walsh
33774,Mervyn LeRoy
33804,Preston Sturges
33836,William Wyler
33852,Jack Conway
33870,John Huston
33874,William Keighley
33891,Frank Capra
33922,Alfred Hitchcock
34012,George Stevens
34167,Howard Hawks
34172,W.S. Van Dyke
34240,Preston Sturges
34248,Alfred Hitchcock
34398,George Waggner
34409,Sidney Lanfield
34492,Paul Satterfield
34492,James Algar
34492,Clyde Geronimi
34492,Arthur Davis
34492,Samuel Armstrong
34492,Norman Wright
34492,David Hand
34492,Bill Roberts
34492,Graham Heid
34493,Vittorio De Sica
34583,Michael Curtiz
34587,Jacques Tourneur
34742,David Miller
34862,Mark Sandrich
34862,Robert Allen
35015,Fred Fleck
35015,Orson Welles
35015,Robert Wise
35019,Billy Wilder
35093,William Wyler
35140,Irving Rapper
35169,Preston Sturges
35211,Sam Wood
35238,Mervyn LeRoy
35262,David Butler
35279,Alfred Hitchcock
35317,Roy William Neill
35415,Julien Duvivier
35417,George Stevens
35423,James Mangold
35432,Frank Tuttle
35446,Ernst Lubitsch
35567,George Stevens
35575,Michael Curtiz
35753,Henri-Georges Clouzot
35896,Sam Wood
35899,Roy William Neill
36027,Jacques Tourneur
36154,Alexander Hammid
36154,Maya Deren
36244,William A. Wellman
36342,Alfred Hitchcock
36377,Henry King
36506,Carl Theodor Dreyer
36515,Herman Shumlin
36515,Hal Mohr
36613,Frank Capra
36775,Billy Wilder
36777,Harold S. Bucquet
36777,Jack Conway
36824,Edward Ludwig
36855,George Cukor
36868,William Wyler
36872,Leo McCarey
36969,Robert Stevenson
37008,Otto Preminger
37017,Alfred Hitchcock
37059,Vincente Minnelli
37077,Preston Sturges
37094,Vincent Sherman
37120,Clarence Brown
37193,Sidney Lanfield
37193,David Butler
37365,Richard Thorpe
37382,Howard Hawks
37514,William Hanna
37514,Joseph Barbera
37514,George Sidney
37515,René Clair
37536,Leo McCarey
37549,Robert Wise
37558,David Lean
37635,Charles Crichton
37635,Alberto Cavalcanti
37635,Basil Dearden
37635,Robert Hamer
37638,Edgar G. Ulmer
37800,Michael Powell
37800,Emeric Pressburger
37884,Billy Wilder
37913,Michael Curtiz
37954,Raoul Walsh
37988,Albert Lewin
38109,Alfred Hitchcock
38166,Harold Young
38166,Jack Kinney
38166,Bill Roberts
38166,Norman Ferguson
38166,Clyde Geronimi
38259,Roy William Neill
38348,Jean Cocteau
38348,René Clément
38355,Howard Hawks
38494,Roy William Neill
38499,Otto Brower
38499,Sidney Franklin
38499,Josef von Sternberg
38499,William Cameron Menzies
38499,William Dieterle
38499,David O. Selznick
38499,King Vidor
38559,Charles Vidor
38574,David Lean
38589,George Sidney
38650,Frank Capra
38661,Alfred E. Green
38669,Robert Siodmak
38776,Michael Curtiz
38787,Alfred Hitchcock
38823,Roberto Rossellini
38854,Tay Garnett
38890,Roberto Rossellini
38969,Wilfred Jackson
38969,Harve Foster
38975,Robert Siodmak
38988,Lewis Milestone
38991,Orson Welles
39017,Roy William Neill
39040,Mitchell Leisen
39066,Vincente Minnelli
39111,Clarence Brown
39169,Irving Reis
39190,Henry Koster
39192,Michael Powell
39192,Emeric Pressburger
39211,Robert Wise
39286,Edward Dmytryk
39302,Delmer Daves
39335,George Cukor
39370,H.C. Potter
39402,John Ford
39402,Emilio Fernández
39416,Elia Kazan
39417,Roberto Rossellini
39420,Joseph L. Mankiewicz
