imdbId,ordering,actor_name,category,characters
15881,3,Jean Hersholt,actor,Marcus
15881,4,Dale Fuller,actress,Maria
16641,1,Ramon Novarro,actor,Ben-Hur
16641,2,Francis X. Bushman,actor,Messala
16641,3,May McAvoy,actress,Esther
16641,4,Betty Bronson,actress,Mary
16847,1,Gösta Ekman,actor,Faust
16847,2,Emil Jannings,actor,Mephisto
16847,3,Camilla Horn,actress,Gretchen
16847,4,Frida Richard,actress,Mutter
16914,1,Werner Krauss,actor,Martin Fellman
16914,2,Ruth Weyher,actress,Seine frau
16914,3,Ilka Grüning,actress,Die mutter
16914,4,Jack Trevor,actor,Erich
17075,1,June Tripp,actress,Daisy - A Mannequin
17075,2,Ivor Novello,actor,The Lodger
17075,3,Marie Ault,actress,The Landlady
17075,4,Arthur Chesney,actor,Her Husband
17136,1,Brigitte Helm,actress,Maria|Maschinenmensch|The Machine Man
17136,2,Alfred Abel,actor,Johann (Joh) Fredersen
17136,3,Gustav Fröhlich,actor,Freder Fredersen - Joh Fredersens Sohn
17136,4,Rudolf Klein-Rogge,actor,Erfinder C.A. Rotwang|The Inventor
17271,1,Aleksandra Khokhlova,actress,Edith Nelson
17271,2,Sergey Komarov,actor,Hans Nelson - her husband
17271,3,Vladimir Fogel,actor,Michael Dennin
17271,4,Pyotr Galadzhev,actor,Harkey
17416,1,Rudolph Valentino,actor,Ahmed|The Sheik
17416,2,Vilma Bánky,actress,Yasmin
17416,3,George Fawcett,actor,André
17416,4,Montagu Love,actor,Ghabah
17739,1,Laura La Plante,actress,Annabelle West
17739,2,Creighton Hale,actor,Paul Jones
17739,3,Forrest Stanley,actor,Charles Wilder
17739,4,Tully Marshall,actor,Roger Crosby
17765,1,Buster Keaton,actor,The Boy
17765,2,Anne Cornwall,actress,The Girl
17765,3,Flora Bramley,actress,Her Friend
17765,4,Harold Goodwin,actor,A Rival
17925,1,Buster Keaton,actor,Johnnie Gray
17925,2,Marion Mack,actress,Annabelle Lee
17925,3,Glen Cavender,actor,Captain Anderson
17925,4,Jim Farley,actor,General Thatcher
18037,1,Al Jolson,actor,Jakie Rabinowitz
18037,2,May McAvoy,actress,Mary Dale
